## B-spline experiments:  using SPHERE grid cutoff
#
# Testing: cubicBspline Taylor4
#
          30006 quinticBspline        Taylor6       7.000000                          16.752850   1.339109e-04   4.461162e-03       0.231526       0.839460
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6       8.000000                           5.798513   4.634939e-05   1.720489e-03       0.254814       1.245045
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6       9.000000                           0.835420   6.677782e-06   6.893355e-04       0.304361       1.742379
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      10.000000                          -1.426933   1.140593e-05   3.379332e-04       0.304234       1.830100
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      11.000000                           1.343766   1.074115e-05   1.741616e-04       0.396950       2.552336
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      12.000000                          -0.239744   1.916350e-06   8.858825e-05       0.561935       3.297734
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      13.000000                          -0.031723   2.535730e-07   5.232624e-05       0.836326       4.207503
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      14.000000                           0.060246   4.815642e-07   3.066888e-05       1.275023       5.167152
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      15.000000                          -0.008684   6.941523e-08   1.811060e-05       1.275021       5.402444
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      16.000000                           0.014026   1.121171e-07   1.194225e-05       1.945197       6.482997
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      17.000000                          -0.009064   7.245151e-08   8.262965e-06       2.938612       7.646258
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      18.000000                           0.003078   2.460062e-08   5.034723e-06       4.363194       9.123809
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      19.000000                           0.000983   7.857397e-09   3.427250e-06       6.369513      10.484666
